"
Conjugate in the conditional.
ser
to be
","
ser
(conditional mood)
yo sería
tú serías
él, ella, Ud. sería
nosotros seríamos
vosotros seríais
ellos, Uds. serían
"
"
Conjugate in the conditional.
hablar
to speak
","
hablar
(conditional mood)
yo hablaría
tú hablarías
él, ella, Ud. hablaría
nosotros hablaríamos
vosotros hablaríais
ellos, Uds. hablarían
"
"
Conjugate in the conditional.
gustar
to like (intr.), to please
","
gustar
(conditional mood)
(a mí) me gustaría
(a tí) te gustaría
(a él, ella, Ud.) le gustaría
(a nosotros) nos gustaría
(a vosotros) os gustaría
(a ellos, Uds.) les gustaría
Note that the conjugation of gustar depends on the quantity of what is being liked, not who is doing the liking.
Ex. We would like the book. Nos gustaría el libro.
I would like the books. Me gustarían los libros.
"
"
Conjugate in the conditional.
estar
to be
","
estar
(conditional mood)
yo estaría
tú estarías
él, ella, Ud. estaría
nosotros estaríamos
vosotros estaríais
ellos, Uds. estarían
"
"
Conjugate in the conditional.
salir
to go out
","
salir
(conditional mood)
yo saldría
tú saldrías
él, ella, Ud. saldría
nosotros saldríamos
vosotros saldríais
ellos, Uds. saldrían
"
"
Conjugate in the conditional.
creer
to believe
","
creer
(conditional mood)
yo creería
tú creerías
él, ella, Ud. creería
nosotros creeríamos
vosotros creeríais
ellos, Uds. creerían
"
"
Conjugate in the conditional.
oír
to hear
","
oír
(conditional mood)
yo oiría
tú oirías
él, ella, Ud. oiría
nosotros oiríamos
vosotros oiríais
ellos, Uds. oirían
"
"
Conjugate in the conditional.
llevar
to carry, to wear
","
llevar
(conditional mood)
yo llevaría
tú llevarías
él, ella, Ud. llevaría
nosotros llevaríamos
vosotros llevaríais
ellos, Uds. llevarían
"
"
Conjugate in the conditional.
escribir
to write
","
escribir
(conditional mood)
yo escribiría
tú escribirías
él, ella, Ud. escribiría
nosotros escribiríamos
vosotros escribiríais
ellos, Uds. escribirían
"
"
Conjugate in the conditional.
comenzar
to begin
","
comenzar
(conditional mood)
yo comenzaría
tú comenzarías
él, ella, Ud. comenzaría
nosotros comenzaríamos
vosotros comenzaríais
ellos, Uds. comenzarían
"
