"
Conjugate in the pluperfect.
ser
to be
","
ser
(pluperfect)
yo había sido
tú habías sido
él, ella, Ud. había sido
nosotros habíamos sido
vosotros habíais sido
ellos, Uds. habían sido
"
"
Conjugate in the pluperfect.
hablar
to speak
","
hablar
(pluperfect)
yo había hablado
tú habías hablado
él, ella, Ud. había hablado
nosotros habíamos hablado
vosotros habíais hablado
ellos, Uds. habían hablado
"
"
Conjugate in the pluperfect.
gustar
to like (intr.), to please
","
gustar
(pluperfect)
(a mí) me había gustado
(a tí) te había gustado
(a él, ella, Ud.) le había gustado
(a nosotros) nos había gustado
(a vosotros) os había gustado
(a ellos, Uds.) les había gustado
Ex. We had liked the book. Nos había gustado el libro.
I had liked the books. Me habían gustado los libros.
"
"
Conjugate in the pluperfect.
estar
to be
","
estar
(pluperfect)
yo había estado
tú habías estado
él, ella, Ud. había estado
nosotros habíamos estado
vosotros habíais estado
ellos, Uds. habían estado
"
"
Conjugate in the pluperfect.
salir
to go out
","
salir
(pluperfect)
yo había salido
tú habías salido
él, ella, Ud. había salido
nosotros habíamos salido
vosotros habíais salido
ellos, Uds. habían salido
"
"
Conjugate in the pluperfect.
creer
to believe
","
creer
(pluperfect)
yo había creído
tú habías creído
él, ella, Ud. había creído
nosotros habíamos creído
vosotros habíais creído
ellos, Uds. habían creído
"
"
Conjugate in the pluperfect.
oír
to hear
","
oír
(pluperfect)
yo había oído
tú habías oído
él, ella, Ud. había oído
nosotros habíamos oído
vosotros habíais oído
ellos, Uds. habían oído
"
"
Conjugate in the pluperfect.
llevar
to carry, to wear
","
llevar
(pluperfect)
yo había llevado
tú habías llevado
él, ella, Ud. había llevado
nosotros habíamos llevado
vosotros habíais llevado
ellos, Uds. habían llevado
"
"
Conjugate in the pluperfect.
escribir
to write
","
escribir
(pluperfect)
yo había escrito
tú habías escrito
él, ella, Ud. había escrito
nosotros habíamos escrito
vosotros habíais escrito
ellos, Uds. habían escrito
"
"
Conjugate in the pluperfect.
comenzar
to begin
","
comenzar
(pluperfect)
yo había comenzado
tú habías comenzado
él, ella, Ud. había comenzado
nosotros habíamos comenzado
vosotros habíais comenzado
ellos, Uds. habían comenzado
"
"
Conjugate in the pluperfect.
conocer
to know
","
conocer
(pluperfect)
yo había conocido
tú habías conocido
él, ella, Ud. había conocido
nosotros habíamos conocido
vosotros habíais conocido
ellos, Uds. habían conocido
"
"
Conjugate in the pluperfect.
venir
to come
","
venir
(pluperfect)
yo había venido
tú habías venido
él, ella, Ud. había venido
nosotros habíamos venido
vosotros habíais venido
ellos, Uds. habían venido
"
"
Conjugate in the pluperfect.
leer
to read
","
leer
(pluperfect)
yo había leído
tú habías leído
él, ella, Ud. había leído
nosotros habíamos leído
vosotros habíais leído
ellos, Uds. habían leído
"
"
Conjugate in the pluperfect.
conducir
to drive
","
conducir
(pluperfect)
yo había conducido
tú habías conducido
él, ella, Ud. había conducido
nosotros habíamos conducido
vosotros habíais conducido
ellos, Uds. habían conducido
"
"
Conjugate in the pluperfect.
ver
to see
","
ver
(pluperfect)
yo había visto
tú habías visto
él, ella, Ud. había visto
nosotros habíamos visto
vosotros habíais visto
ellos, Uds. habían visto
"
"
Conjugate in the pluperfect.
volver
to return
","
volver
(pluperfect)
yo había vuelto
tú habías vuelto
él, ella, Ud. había vuelto
nosotros habíamos vuelto
vosotros habíais vuelto
ellos, Uds. habían vuelto
"
"
Conjugate in the pluperfect.
vivir
to live
","
vivir
(pluperfect)
yo había vivido
tú habías vivido
él, ella, Ud. había vivido
nosotros habíamos vivido
vosotros habíais vivido
ellos, Uds. habían vivido
"
"
Conjugate in the pluperfect.
tomar
to take
","
tomar
(pluperfect)
yo había tomado
tú habías tomado
él, ella, Ud. había tomado
nosotros habíamos tomado
vosotros habíais tomado
ellos, Uds. habían tomado
"
"
Conjugate in the pluperfect.
dar
to give
","
dar
(pluperfect)
yo había dado
tú habías dado
él, ella, Ud. había dado
nosotros habíamos dado
vosotros habíais dado
ellos, Uds. habían dado
"
