"
Conjugate in the Present Tense
ser
to be
","
ser
(present tense)
yo soy
tú eres
él, ella, Ud. es
nosotros somos
vosotros sois
ellos, Uds. son
"
"
Conjugate in the Present Tense
hablar
to speak
","
hablar
(present tense)
yo hablo
tú hablas
él, ella, Ud. habla
nosotros hablamos
vosotros habláis
ellos, Uds. hablan
"
"
Conjugate in the Present Tense
gustar
to like (intr.), to please
","
gustar
(present tense)
(a mí) me gusta
(a tí) te gusta
(a él, ella, Ud.) le gusta
(a nosotros) nos gusta
(a vosotros) os gusta
(a ellos, Uds.) les gusta
Note that the conjugation of gustar depends on the quantity of what is being liked, not who is doing the liking.
Ex. We like the book. Nos gusta el libro.
I like the books. Me gustan los libros.
"
"
Conjugate in the Present Tense
estar
to be
","
estar
(present tense)
yo estoy
tú estás
él, ella, Ud. está
nosotros estamos
vosotros estáis
ellos, Uds. están
"
"
Conjugate in the Present Tense
salir
to go out
","
salir
(present tense)
yo salgo
tú sales
él, ella, Ud. sale
nosotros salimos
vosotros salís
ellos, Uds. salen
"
"
Conjugate in the Present Tense
creer
to believe
","
creer
(present tense)
yo creo
tú crees
él, ella, Ud. cree
nosotros creemos
vosotros creéis
ellos, Uds. creen
"
"
Conjugate in the Present Tense
oír
to hear
","
oír
(present tense)
yo oigo
tú oyes
él, ella, Ud. oye
nosotros oímos
vosotros oís
ellos, Uds. oyen
"
"
Conjugate in the Present Tense
llevar
to carry, to wear
","
llevar
(present tense)
yo llevo
tú llevas
él, ella, Ud. lleva
nosotros llevamos
vosotros lleváis
ellos, Uds. llevan
"
"
Conjugate in the Present Tense
escribir
to write
","
escribir
(present tense)
yo escribo
tú escribes
él, ella, Ud. escribe
nosotros escribimos
vosotros escribís
ellos, Uds. escriben
"
"
Conjugate in the Present Tense
comenzar
to begin
","
comenzar
(present tense)
yo comienzo
tú comienzas
él, ella, Ud. comienza
nosotros comenzamos
vosotros comenzáis
ellos, Uds. comienzan
"
"
Conjugate in the Present Tense
conocer
to know
","
conocer
(present tense)
yo conozco
tú conoces
él, ella, Ud. conoce
nosotros conocemos
vosotros conocéis
ellos, Uds. conocen
"
"
Conjugate in the Present Tense
venir
to come
","
venir
(present tense)
yo vengo
tú vienes
él, ella, Ud. viene
nosotros venimos
vosotros venís
ellos, Uds. vienen
"
"
Conjugate in the Present Tense
leer
to read
","
leer
(present tense)
yo leo
tú lees
él, ella, Ud. lee
nosotros leemos
vosotros leéis
ellos, Uds. leen
"
"
Conjugate in the Present Tense
conducir
to drive
","
conducir
(present tense)
yo conduzco
tú conduces
él, ella, Ud. conduce
nosotros conducimos
vosotros conducís
ellos, Uds. conducen
"
"
Conjugate in the Present Tense
ver
to see
","
ver
(present tense)
yo veo
tú ves
él, ella, Ud. ve
nosotros vemos
vosotros véis
ellos, Uds. ven
"
"
Conjugate in the Present Tense
volver
to return
","
volver
(present tense)
yo vuelvo
tú vuelves
él, ella, Ud. vuelve
nosotros volvemos
vosotros volvéis
ellos, Uds. vuelven
"
"
Conjugate in the Present Tense
vivir
to live
","
vivir
(present tense)
yo vivo
tú vives
él, ella, Ud. vive
nosotros vivimos
vosotros vivís
ellos, Uds. viven
"
"
Conjugate in the Present Tense
tomar
to take
","
tomar
(present tense)
yo tomo
tú tomas
él, ella, Ud. toma
nosotros tomamos
vosotros tomáis
ellos, Uds. toman
"
"
Conjugate in the Present Tense
dar
to give
","
dar
(present tense)
yo doy
tú das
él, ella, Ud. da
nosotros damos
vosotros dais
ellos, Uds. dan
"
"
Conjugate in the Present Tense
comprar
to buy
","
comprar
(present tense)
yo compro
tú compras
él, ella, Ud. compra
nosotros compramos
vosotros compráis
ellos, Uds. compran
"
"
Conjugate in the Present Tense
estudiar
to study
","
estudiar
(present tense)
yo estudio
tú estudias
él, ella, Ud. estudia
nosotros estudiamos
vosotros estudiáis
ellos, Uds. estudian
"
"
Conjugate in the Present Tense
construir
to build
","
construir
(present tense)
yo construyo
tú construyes
él, ella, Ud. construye
nosotros construimos
vosotros construís
ellos, Uds. construyen
"
"
Conjugate in the Present Tense
decir
to say, to tell
","
decir
(present tense)
yo digo
tú dices
él, ella, Ud. dice
nosotros decimos
vosotros decís
ellos, Uds. dicen
"
"
Conjugate in the Present Tense
perder
to lose
","
perder
(present tense)
yo pierdo
tú pierdes
él, ella, Ud. pierde
nosotros perdemos
vosotros perdéis
ellos, Uds. pierden
"
"
Conjugate in the Present Tense
querer
to want, to love
","
querer
(present tense)
yo quiero
tú quieres
él, ella, Ud. quiere
nosotros queremos
vosotros queréis
ellos, Uds. quieren
"
"
Conjugate in the Present Tense
deber
to owe; must
","
deber
(present tense)
yo debo
tú debes
él, ella, Ud. debe
nosotros debemos
vosotros debéis
ellos, Uds. deben
"
"
Conjugate in the Present Tense
poder
to be able to
","
poder
(present tense)
yo puedo
tú puedes
él, ella, Ud. puede
nosotros podemos
vosotros podéis
ellos, Uds. pueden
"
"
Conjugate in the Present Tense
dormir
to sleep
","
dormir
(present tense)
yo duermo
tú duermes
él, ella, Ud. duerme
nosotros dormimos
vosotros dormís
ellos, Uds. duermen
"
"
Conjugate in the Present Tense
contar
to count
","
contar
(present tense)
yo cuento
tú cuentas
él, ella, Ud. cuenta
nosotros contamos
vosotros contáis
ellos, Uds. cuentan
"
"
Conjugate in the Present Tense
pagar
to pay
","
pagar
(present tense)
yo pago
tú pagas
él, ella, Ud. paga
nosotros pagamos
vosotros pagáis
ellos, Uds. pagan
"
"
Conjugate in the Present Tense
aprender
to learn
","
aprender
(present tense)
yo aprendo
tú aprendes
él, ella, Ud. aprende
nosotros aprendemos
vosotros aprendéis
ellos, Uds. aprenden
"
"
Conjugate in the Present Tense
hacer
to do, to make
","
hacer
(present tense)
yo hago
tú haces
él, ella, Ud. hace
nosotros hacemos
vosotros hacéis
ellos, Uds. hacen
"
"
Conjugate in the Present Tense
pensar
to think
","
pensar
(present tense)
yo pienso
tú piensas
él, ella, Ud. piensa
nosotros pensamos
vosotros pensáis
ellos, Uds. piensan
"
"
Conjugate in the Present Tense
traer
to bring
","
traer
(present tense)
yo traigo
tú traes
él, ella, Ud. trae
nosotros traemos
vosotros traéis
ellos, Uds. traen
"
"
Conjugate in the Present Tense
entrar
to enter
","
entrar
(present tense)
yo entro
tú entras
él, ella, Ud. entra
nosotros entramos
vosotros entráis
ellos, Uds. entran
"
"
Conjugate in the Present Tense
saber
to know
","
saber
(present tense)
yo sé
tú sabes
él, ella, Ud. sabe
nosotros sabemos
vosotros sabéis
ellos, Uds. saben
"
"
Conjugate in the Present Tense
cantar
to sing
","
cantar
(present tense)
yo canto
tú cantas
él, ella, Ud. canta
nosotros cantamos
vosotros cantáis
ellos, Uds. cantan
"
"
Conjugate in the Present Tense
tener
to have
","
tener
(present tense)
yo tengo
tú tienes
él, ella, Ud. tiene
nosotros tenemos
vosotros tenéis
ellos, Uds. tienen
"
"
Conjugate in the Present Tense
mirar
to watch
","
mirar
(present tense)
yo miro
tú miras
él, ella, Ud. mira
nosotros miramos
vosotros miráis
ellos, Uds. miran
"
