"
Translate to Spanish:
Thank you, Thanks
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/583/a_sound.MP3?1415994268 type=""audio/mpeg""></audio><br>

Gracias
"
"
Translate to Spanish:
You're welcome
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/584/a_sound.MP3?1415994268 type=""audio/mpeg""></audio><br>

De nada
Con mucho gusto
"
"
Translate to Spanish:
you
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/585/a_sound.MP3?1415994270 type=""audio/mpeg""></audio><br>

tú, usted
"
"
Translate to Spanish:
he, him
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/586/a_sound.MP3?1415994271 type=""audio/mpeg""></audio><br>

él
"
"
Translate to Spanish:
she, her
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/587/a_sound.MP3?1415994272 type=""audio/mpeg""></audio><br>

ella
"
"
Translate to Spanish:
I
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/588/a_sound.MP3?1415994273 type=""audio/mpeg""></audio><br>

yo
"
"
Translate to Spanish:
we, us
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/589/a_sound.MP3?1415994274 type=""audio/mpeg""></audio><br>

nosotros/nosotras
"
"
Translate to Spanish:
they, them
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/590/a_sound.MP3?1415994276 type=""audio/mpeg""></audio><br>

ellos/ellas
"
"
Translate to Spanish:
you all, you guys
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/591/a_sound.MP3?1415994278 type=""audio/mpeg""></audio><br>

Ustedes, vosotros (Spain, informal)
"
"
Translate to Spanish:
yes
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/592/a_sound.MP3?1415994278 type=""audio/mpeg""></audio><br>

sí
"
"
Translate to Spanish:
No, thank you
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/593/a_sound.MP3?1415994279 type=""audio/mpeg""></audio><br>

No, gracias
"
"
Translate to Spanish:
to speak, to talk
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/594/a_sound.MP3?1415994281 type=""audio/mpeg""></audio><br>

hablar
"
"
Translate to Spanish:
What?
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/595/a_sound.MP3?1415994282 type=""audio/mpeg""></audio><br>

¿Qué? ¿Cómo?
"
"
Translate to Spanish:
Please
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/596/a_sound.MP3?1415994283 type=""audio/mpeg""></audio><br>

Por favor
"
"
Translate to Spanish:
I don't speak English
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/597/a_sound.MP3?1415994284 type=""audio/mpeg""></audio><br>

No hablo inglés
"
"
Translate to Spanish:
Hello
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/598/a_sound.MP3?1415994285 type=""audio/mpeg""></audio><br>

Hola
"
"
Translate to Spanish:
Goodbye
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/599/a_sound.MP3?1415994285 type=""audio/mpeg""></audio><br>

Adiós
"
"
Translate to Spanish:
Do you speak English?
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/600/a_sound.MP3?1415994286 type=""audio/mpeg""></audio><br>

¿Usted habla inglés?¿Habla Usted inglés?
 
"
"
Translate to Spanish:
the bathroom
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/601/a_sound.MP3?1415994288 type=""audio/mpeg""></audio><br>

el baño
"
"
Translate to Spanish:
the man
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/602/a_sound.MP3?1415994289 type=""audio/mpeg""></audio><br>

el hombre
"
"
Translate to Spanish:
the woman
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/603/a_sound.MP3?1415994290 type=""audio/mpeg""></audio><br>

la mujer
"
"
Translate to Spanish:
What is your name?
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/604/a_sound.MP3?1415994291 type=""audio/mpeg""></audio><br>

¿Cómo te llamas?
(¿Cuál es tu nombre?)
"
"
Translate to Spanish:
very
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/605/a_sound.MP3?1415994292 type=""audio/mpeg""></audio><br>

muy
"
"
Translate to Spanish:
I like ___
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/606/a_sound.MP3?1415994293 type=""audio/mpeg""></audio><br>

Me gusta ___
"
"
Translate to Spanish:
I love ____
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/607/a_sound.MP3?1415994294 type=""audio/mpeg""></audio><br>

Me encanta ____
"
"
Translate to Spanish:
to learn
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/608/a_sound.MP3?1415994295 type=""audio/mpeg""></audio><br>

aprender
"
"
Translate to Spanish:
I'm sorry
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/609/a_sound.MP3?1415994297 type=""audio/mpeg""></audio><br>

Lo siento
"
"
Translate to Spanish:
one, two, three, four, five
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/610/a_sound.MP3?1415994298 type=""audio/mpeg""></audio><br>

Uno, dos, tres, cuatro, cinco
"
"
Translate to Spanish:
six, seven, eight, nine, ten
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/611/a_sound.MP3?1415994300 type=""audio/mpeg""></audio><br>

Seis, siete, ocho, nueve, diez
"
"
Translate to Spanish:
How many?
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/612/a_sound.MP3?1415994300 type=""audio/mpeg""></audio><br>

¿Cuántos?
"
"
Translate to Spanish:
How much?
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/039/613/a_sound.MP3?1415994301 type=""audio/mpeg""></audio><br>

¿Cuánto?
"
